bin,p_low,p_high,n,mean_predicted,mean_observed
0,0.0,0.1,95,0.0593576710883531,0.031578947368421054
1,0.1,0.2,134,0.15082470334826364,0.17164179104477612
2,0.2,0.30000000000000004,102,0.25368310711562936,0.27450980392156865
3,0.30000000000000004,0.4,108,0.35082984995165406,0.37962962962962965
4,0.4,0.5,97,0.44986709695388216,0.422680412371134
5,0.5,0.6000000000000001,102,0.5488375732584594,0.5294117647058824
6,0.6000000000000001,0.7000000000000001,81,0.6480959487012123,0.6172839506172839
7,0.7000000000000001,0.8,75,0.7522483576229833,0.7866666666666666
8,0.8,0.9,63,0.8521317120234255,0.8253968253968254
9,0.9,1.0,43,0.9341389041041658,0.9534883720930233
